French,English
de,of
est,East
le,THE
la,there
tu,you
c' ,vs'
il,he
a,has
l',L'
ne,born
les,THE
en,in
une,a
d',d '
ce,This
qu',that
pour,For
ai,have
des,of the
qui,Who
mais,but
dans,In
nous,We
elle,She
si,if
du,of
suis,am
non,No
t',t '
tout,All
plus,more
mon,My
m',M '
te,you
au,At
fait,do
moi,Me
oui,Yes
va,go
était,was
sur,on
quoi,What
comme,as
sais,know
être,be
veux,want
ma,my
est-ce,is it
dit,said
es,es
où,Or
rien,Nothing
quand,When
peux,can
dire,say
son,her
comment ,how
ou,Or
bon,Good
ont,have
juste,just
été,summer
aussi ,Also
